column,types,notes
id,{'str': 400},
org_name,{'str': 400},
event_name,{'str': 400},
event_description,{'str': 400},
event_start_date,{'str': 400},
event_end_date,{'str': 400},
days_of_week,{'str': 400},
start_time,{'str': 400},
end_time,{'str': 400},
more_info,{'str': 400},
fee,{'bool': 400},
admission_price,{},all null
site_location_name,{'str': 400},
event_photo,{'str': 400},
category,{'str': 400},
subcategory,{'str': 400},
age_group_eligibility_tags,{'str': 400},
race_ethnicity_eligibility_tags,{'str': 71},
special_needs_eligibility_tags,{'str': 12},
sogi_eligibility_tags,{'str': 71},
language_eligibility_tags,{'str': 206},
site_address,{'str': 400},
site_phone,{'str': 400},
site_email,{'str': 400},
latitude,{'float': 400},
longitude,{'float': 400},
point,{'str': 400},
analysis_neighborhood,{'str': 400},
supervisor_district,{'float': 400},
data_as_of,{'str': 400},
data_loaded_at,{'str': 400},
